,comment_text,identity_hate
20618,Shut up! Are you Indian brother. i AM FROM tAMIL nADU. iT TAKE SPECIAL INTEREST IN ANNOYING PEOPLE. i AM GOING TO hARVARD. sO SHUT UP! i AM BRAHMIN! sO SHUT UP! oH yEAH!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,1
3ac2bf2e8528f478,":::I think that the way Gilabrand put it now is just good, it may also relax the intentions of HagiMalachi.",0
127494,"I'm the bigot? you are a pathetic racist Afrocentrist who is intentionally lying about history to make up for the complete objective lack of black achievement in comparison to other races.

No one else feels the need to lie and manipulate history like Afrocentrists. 

69.158.28.97",1
157239,"F' you turk

it is funny you have to live in seattle and france, why don't you go back to your shithole turkey, or even better yet, to mongolia?  my people were around europe when your uncle and aunt were out fucking the pigs in mongolia.  that is sick you have european citizenship.  as an EU and US citizen, i should report you the police and get you thrown out.. if nothing because you are a stinking lawyer.  get out of europe.. we don't need the stink..  you like to quote le pen.  he is a finer individual than the racist pigs of turkey.. who murder and never admit.  what hypocritical blood you have.. but i bet turks are too blind to ever see it.  no surprise.  good riddens.",1
28469,"This is my real physical model. Ohms law, is a statistic of the resistor. So its not real. Ohm never said V=IR. So all I can say is what is your source, when you say it. Who said V=IR? Ohm did NOT say it. Who said it, and tell me how it is scientific. I am now making you explain yourself. In my real physical model, the electron is a physical stress on the ether, and the charge is just apart of the mass and is apart of gravity. And in my physical model, gravity, and mass and charge are all one and cant exist without each other.  and V is only = to IR, when you make a circuit that is low power. If you just hook up a resistor to something like a car battery, V is not IR. And if you have a non ohmlic material, even if your voltage source is of lower power, V is not IR. (example FET transistor material)",0
124317,"She's NOT a Pro Life Activist - She is a Pro Life Extremist 
That's what they call religious people when they do this.  So, it makes sense.  I agree with calling her a Terrorist, because by definition....... that's what she is.  But if not, at least change it to Extremist..... geez.  Activists protest, hand out fliers, and knock on doors.  Extremists cause physical harm to people because of their EXTREME beliefs.",0
17594,"Fuck off and rape your kids, Fenian bogtrotting shit. I hope the ones you love die in a cock accident.

 Trepens Epichal 

Hello, fat, ugly, lonely, smelly little boy. Only here can you conceit yourself human. Isn't that right, chum? Only here can you pretend you're liked, pretend you mean something, pretend you have some value in the eyes of the world, when really...you're a nothing. I am very disappointed.",1
ce7474ac35795e4c,Hello.  I don't talk much.,0
a0903b6cecb69904,"== RE: Gear section == 

 Fuck you. It's not your place removing it. Most people that go on wiki to look up Zakk would appreciate that section.",0
122793,is it because it is of my naked mum having sex with me? i am indeed a faggot who sucks his dads cock. fucking homo. go fucking die you piece of shit,1
49615,"Hi 

Fuck you, Faggot.",1
68411,"""

 Proofread of Frank Trigg 

Hi Ausmus,

Great work on Trigg - I proofed and edited where I needed to, but the prose was excellent and I mainly just needed to make style corrections.  I've left some to-dos on the article talk page for areas in which it could be expanded in future, but it's complete as it is.  Nice work! —  talk """,0
105468,And I will not stand idly by while being threatened with repercussions over using perfectly acceptable descriptive words use to describe his actions here.76.111.172.54,0
50770,Because otherwise would be POV. See Flemish (linguistics) case.,0
c38e89bea658111b,""" 

 == Implausible assertion or poor translation ? == 

 """"Much of the vegetation in this cape are low-lying and adapted to saltwater and windy conditions. Once home to a variety of plant life, Cabo da Roca has been overrun with the invasive plant species Carpobrotus edulis. This creeping, mat-forming plant, a member of the Aizoaceae succulent family, was introduced as ground cover by local residents several decades ago, but now covers much of the arable land on Cabo da Roca."""" 

 """"low-lying"""" is a description of land,  not of vegetation.   It is common for one species of plant adapted to salty, windy, exposed conditions to replace other species over some period of time, particularly where the new dominant species has been """"introduced"""" from some other area.   However it is implausible for such a species to take over """"arable"""" land.   That means farm land,  not just some agriculturally-unused exposed heath land on the top of the cliff.  Is the land occupied by this weed really arable land ?   """,0
38831,More hrassment from the Jew-hater Whaledad.,1
dbea530022a7df69,"==Barnstar== 
 Mulţumesc de barnstar, vreau să-l reduc la mărimea celorlalte dar nu ştiu cum se face. Mă poţi ajuta?",0
c7ccc3447974d008,== Initial post ==,0
