,comment_text,severe_toxic
62311c1a19c92e23,::::  Too late!  Cabernet? Prost!,0
34f02f59f358b722,what up ppl this is 7th grade football girl,0
eae4e72fb1960656,"fucked up gay motherfuckers. ==GAY FAGS RAPED MY CHILDREN AND GAVE ME AIDS== 
 Fuck the gay fags. Stone them, burn them. Tell them to fuck the devil up his ass. Stop spreading AIDS and raping children you fucked up gay motherfuckers. ==GAY FAGS RAPED MY CHILDREN AND GAVE ME AIDS== 
 Fuck the gay fags. Stone them, burn them. Tell them to fuck the devil up his ass. Stop spreading AIDS and raping children you fucked up gay motherfuckers. ==GAY FAGS RAPED MY CHILDREN AND GAVE ME AIDS== 
 Fuck the gay fags. Stone them, burn them. Tell them to fuck the devil up his ass. Stop spreading AIDS and raping children you fucked up gay motherfuckers. ==GAY FAGS RAPED MY CHILDREN AND GAVE ME AIDS== 
 Fuck the gay fags. Stone them, burn them. Tell them to fuck the devil up his ass. Stop spreading AIDS and raping children you fucked up gay motherfuckers. ==GAY FAGS RAPED MY CHILDREN AND GAVE ME AIDS== 
 Fuck the gay fags. Stone them, burn them. Tell them to fuck the devil up his ass. Stop spreading AIDS and raping children you fucked up gay motherfuckers. ==GAY FAGS RAPED MY CHILDREN AND GAVE ME AIDS== 
 Fuck the gay fags. Stone them, burn them. Tell them to fuck the devil up his ass. Stop spreading AIDS and raping children you fucked up gay motherfuckers. ==GAY FAGS RAPED MY CHILDREN AND GAVE ME AIDS== 
 Fuck the gay fags. Stone them, burn them. Tell them to fuck the devil up his ass. Stop spreading AIDS and raping children you fucked up gay motherfuckers. ==GAY FAGS RAPED MY CHILDREN AND GAVE ME AIDS== 
 Fuck the gay fags. Stone them, burn them. Tell them to fuck the devil up his ass. Stop spreading AIDS and raping children you fucked up gay motherfuckers. ==GAY FAGS RAPED MY CHILDREN AND GAVE ME AIDS== 
 Fuck the gay fags. Stone them, burn them. Tell them to fuck the devil up his ass. Stop spreading AIDS and raping children you fucked up gay motherfuckers. ==GAY FAGS RAPED MY CHILDREN AND GAVE ME AIDS== 
 Fuck the gay fags. Stone them, burn them. Tell them to fuck the devil up his ass. Stop spreading AIDS and raping children you fucked up gay motherfuckers. ==GAY FAGS RAPED MY CHILDREN AND GAVE ME AIDS== 
 Fuck the gay fags. Stone them, burn them. Tell them to fuck the devil up his ass. Stop spreading AIDS and raping children you fucked up gay motherfuckers. ==GAY FAGS RAPED MY CHILDREN AND GAVE ME AIDS== 
 Fuck the gay fags. Stone them, burn them. Tell them to fuck the devil up his ass. Stop spreading AIDS and raping children you fucked up gay motherfuckers. ==GAY FAGS RAPED MY CHILDREN AND GAVE ME AIDS== 
 Fuck the gay fags. Stone them, burn them. Tell them to fuck the devil up his ass. Stop spreading AIDS and raping children you fucked up gay motherfuckers. ==GAY FAGS RAPED MY CHILDREN AND GAVE ME AIDS== 
 Fuck the gay fags. Stone them, burn them. Tell them to fuck the devil up his ass. Stop spreading AIDS and raping children you fucked up gay motherfuckers. ==GAY FAGS RAPED MY CHILDREN AND GAVE ME AIDS== 
 Fuck the gay fags. Stone them, burn them. Tell them to fuck the devil up his ass. Stop spreading AIDS and raping children you fucked up gay motherfuckers. ==GAY FAGS RAPED MY CHILDREN AND GAVE ME AIDS== 
 Fuck the gay fags. Stone them, burn them. Tell them to fuck the devil up his ass. Stop spreading AIDS and raping children you fucked up gay motherfuckers. ==GAY FAGS RAPED MY CHILDREN AND GAVE ME AIDS== 
 Fuck the gay fags. Stone them, burn them. Tell them to fuck the devil up his ass. Stop spreading AIDS and raping children you fucked up gay motherfuckers. ==GAY FAGS RAPED MY CHILDREN AND GAVE ME AIDS== 
 Fuck the gay fags. Stone them, burn them. Tell them to fuck the devil up his ass. Stop spreading AIDS and raping children you fucked up gay motherfuckers. ==GAY FAGS RAPED MY CHILDREN AND GAVE ME AIDS== 
 Fuck the gay fags. Stone them, burn them. Tell them to fuck the devil up his ass. Stop spreading AIDS and raping children you fucked up gay motherfuckers. ==GAY FAGS RAPED MY CHILDREN AND GAVE ME AIDS== 
 Fuck the gay fags. Stone them, burn them. Tell them to fuck the devil up his ass. Stop spreading AIDS and raping children you fucked up gay motherfuckers. ==GAY FAGS RAPED MY CHILDREN AND GAVE ME AIDS== 
 Fuck the gay fags. Stone them, burn them. Tell them to fuck the devil up his ass. Stop spreading AIDS and raping children you fucked up gay motherfuckers. ==GAY FAGS RAPED MY CHILDREN AND GAVE ME AIDS== 
 Fuck the gay fags. Stone them, burn them. Tell them to fuck the devil up his ass. Stop spreading AIDS and raping children you fucked up gay motherfuckers. ==GAY FAGS RAPED MY CHILDREN AND GAVE ME AIDS== 
 Fuck the gay fags. Stone them, burn them. Tell them to fuck the devil up his ass. Stop spreading AIDS and raping children you fucked up gay motherfuckers. ==GAY FAGS RAPED MY CHILDREN AND GAVE ME AIDS== 
 Fuck the gay fags. Stone them, burn them. Tell them to fuck the devil up his ass. Stop spreading AIDS and rapi",1
2894,"go to  die 

son of  bich",1
3095d202a0cc631c,"== RAFTERMAN == 

 UNBLOCK USER RAFTERMAN, OR THE FULL METAL JACKET VANDAL WILL NEVER STOP. YOU HAVE BEEN WARNED, WARN ALL OTHER ADMINS AND USERS, YOU WILL FEAR THE FULL METAL JACKET VANDAL IF YOU MAKE THE MISTAKE OF NOT UNBLOCKING HIM. DON'T MAKE THAT FUCKING MISTAKE, NIGGER.",1
a38911a436b65a1a,"== Hi == 

 fuck u bitch suck a black dick bitch ass mutahfucka 
 if i edit shit u leave it ok bitch fuck u nigga fuckin muthafucka",1
31431,"""Terri_Schiavo&diff;=18616024&oldid;=18601666 here].

in this one diff, he both denies it is a massive edit while saying it was a couple hours of editing. 

The list of issues with SlimVirgin's edits include the following:

regarding this diff: The embedded note that USED to be there said:

< This paragraph is a direct quote from Dr. Bernat's testimony before the U.S. Senate in April 2005. Dr. Bernat's testimony was approved by the AAN Executive Committee. The two links provided document the testimony and the AAN approval.> 

SlimVirgin deleted this embedded note, and then inserts into the same paragraph, an embedded note questioning the accuracy of the quote.

<Is this true? I seem to recall a case in England where a man woke up after a long time in PVS.><What levels of """"prognostic certainty""""?: 

""""During this time, the Schindlers allegedly encouraged Mr. Schiavo to get on with his life, and he introduced them to women he was dating.""""

inserting the word """"allegedly"""" might be technically not untrue, it casts a whole lot of doubt without any context. This statement about dating was reported by a guardian ad litem to the court. It is the guy's job to get the facts right, not present one pov. I can't recall, but I'm prety sure the guardian ad litem did not use the word """"allegedly"""" in his report. and as far as I know, the Schindlers never challenged that statement at the time, either. Though I believe they may have challenged it much (years?) later, when they were willing to challenge anything possible.  There's a URL right by that line with an embedded note saying < quoting from page 11 of 38 of Wolfson report >, in case anyone was wondering where the """"alleged"""" statement came from. 

The noise awoke Michael Schiavo, and he called 911 emergency services. <I'm deleting """"immediately"""" wherever I find it, because it's journalese and usually unverifiable, not because I think it wasn't immediate.>""""

Govorner Bush launched an investigation specifically into whether or not Michael called 911 """"immediately"""" or whether there was foul play on his part. The DA recently dropped the investigation saying Michael's story was consistent and that the cause of Terri's collapse was probably cardiac arrest. 

""""(PVS), according to seven neurologists who examined her, or a minimally conscious state (MCS), according to one other.""""

The dissenting neurologist suggested """"therapies"""" that the court dismissed as quackery. If this neurologist is included in the intro, then his diasnosis as MCS needs to include the fact that his therapies are questionable. 

Before: In March 1994, guardian ad litem John H. Pecarek was appointed by the court to determine if there had been any abuse by Michael Schiavo. Pecarek's report found no evidence for any inappropriate actions, and indicated that Michael had been very attentive to his wife. <Do not remove Pecarek's statement. It is quoted in several court orders and GAL reports, however Pecarek's report is unavailable on the internet. >

SlimVirgin's Edit: In March 1994, guardian ad litem John H. Pecarek was appointed by the court to determine whether there had been any abuse by Mr. Schiavo. Pecarek's report found no evidence of any inappropriate acts, and indicated that Mr. Schiavo had been attentive to his wife. <attentive? did he actually use this word?>Mr. Schiavo remained his wife's guardian.<Might it be worth explaining the sense in which he remained her guardian when there were court-appointed guardians?>

an informative embedded note is deleted (the one saying the statement from Pecarek is QUOTED in several court orders but NOT available directly on the internet). And it is replaced by a question of accuracy """"Did he really use that word?"""" 

Before: Other neurologists — Drs. Jeffery M. Karp, James H. Barnhill, and Thomas H. Harrison — also examined Mrs. Schiavo over the years and made the same diagnosis; they also shared a very poor opinion about her chances for recovery.

SlimVirgin Version: Other neurologists — Dr. Jeffery M. Karp, Dr. James H. Barnhill, and Dr. Thomas H. Harrison — also examined Schiavo over the years and made the same diagnosis, which entailed a poor prognosis.

changed the emphasis on the second half of the sentence from """"all shared the opinion of poor chance for recovery"""" to """"Terri's chances for recovery were poor"""", but it's no longer clear that this is something that all the doctor's believed.

SlimVirgin accusationsNEWL",0
115197,SHUT THE FUCK UP YOU GAY NERD FAGGOT.,1
30222,"""

This """"DavidShankBone"""" has been personally attacking me for a long time.  I don't know how many times he has called me a vandal, without even one diff.   Even though I've asked for it.   Recently he vandalized my legitimate comments echoing the words of others:  .    and has gone out of his way, spending literally hours trying to get me blocked.   Concerned admininstrators, I know what it looks like: an """"IP""""  we're all evil vandals, right? ;)   But I implore you to ask him for where he has seen this vandalism.   I promise you, he won't present any caveat: i did revert to someone else's vandalism accidentally, proving that """"ShankBone"""" has been attacking me for a loooong time.   In any case, I'm happy to participate in dispute resolution, an RfAr suits me just fine to get this ShankBone to stop threatening to get me blocked, cause most of the time he is ignored but once in a while he comes across an admin that will do his bidding rather than follow the basic wiki dispute process.   

""",0
082222a24e83a16b,Eat a dick fag.,1
