,comment_text,threat
132566,i hope you die you fucking pedophile. i gave your details to some friends in the middle east and they were VERY angry about you and said they might pay you a visit,1
11199,Fuck you Sarcasticidealist i will kill you with my gun as well bitch ass motherfucker}},1
59e7631661b34232,"Let us please hunt this bitch down and kill it, like we should have been allowed to do with bernardo, homolka and olsen.",1
71213,"I WILL KILL YOU YOU FUCKING TWAT, I WILL SHOVE A KNIFE THROUGH YOUR HEART!

Bold text",1
136618,"""

 Coliseum 

Thanks for your note. That tells me more about what to do in the future. The main point of fair use seems to be (1) no free alternative easily available (i.e. when the subject of the photo no longer exists); and (2) that it is being used as a visual reference in the article, not just a """"decoration"""".  """,0
50623,"im going to punch jim wales one day. ill find him, then ill fucking punch him out.",1
129815,Sitush is an asshole...die you dog,1
98614,"Hey 

Sorry I gave you such a hard time about the non-free images and such. I promise I'll be more reasonable in the future.",0
131269,"I am going to kill you  

i am going to get a gun and blow your head off you stupid retard",1
114858,"quick thing mate 

Give me a couple of reasons NOT to kill you plz. btw this is a shared IP adress on a school computer so don't even bother responding,",1
59313,""" As they say in the movies, """"oh be-have"""". Seriously, though, we are trying to write an encyclopedia here, so don't make joke edits. Some readers looking for a serious article might not find them amusing. Remember, millions of people read Wikipedia, so we have to take what we do a bit seriously here. If you'd like to experiment with editing, try the sandbox, where you can write whatever you want (as long as it's not offensive). Maybe you should check out Wikipedia:Bad Jokes and Other Deleted Nonsense.  """,0
3a85e6c1909f65c4,"== Death to Arabs! Free Judah and Shomron from illegal Araḃ occupation! == 

 Death to Arabs! Free Judah and Shomron from illegal Araḃ occupation!",1
7d3b569b8c36500d,"Youidiot! You blocked meoff! Well, I'llkill you! Bang!You're dead! Halleauya! Rex is DEAD!",1
54329,"""

(edit conflict) WP does not """"forbid"""" NPOV. Quite the contrary. (If I made a mistake when moving the material, I am sorry.)   """,0
583a28003153cc26,|decline=It's painfully obvious that you're here to promote an agenda.,0
144836,""":: The """"before you block this account"""" was in reference to my obvious sock - it's worth throwing away to alert people to bad practice (POV folks, using wikipedia as a circular reference, creating and recreating a deleted BLP vio etc etc).   

""",0
118623,"Thanks for letting me know, man.  (talk ⋅ contribs)",0
